species,region,huntingSeason
Sini- eli heinäsorsa,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Tavi,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Heinätavi,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Haapana,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Jouhisorsa,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Lapasorsa,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Punasotka,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Tukkasotka,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Telkkä,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Alli,Koko maassa,1.9.2017 — 31.12.2017
Tukkakoskelo,Koko maassa,1.9.2017 — 31.12.2017
Isokoskelo,Koko maassa,1.9.2017 — 31.12.2017
Haahka,Maa- ja metsätalousministeriön asetuksen 1077/2015 liitteenä olevaan karttaan erikseen merkityllä alueella.,"1.6.2017 — 15.6.2017 koiras, kartta osoitteessa: http://www.finlex.fi/data/sdliite/liite/6528.pdf"
Haahka,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Nokikana,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Metsähanhi,"Etelä-Karjalan maakuntaan kuuluvassa Lappeenrannan kunnassa, Kymenlaakson maakunnassa, Päijät-Hämeen maakuntaan kuuluvassa Orimattilan kunnassa, Uudenmaan maakuntaan kuuluvissa Askolan, Lapinjärven, Loviisan, Myrskylän, Porvoon ja Pukkilan kunnissa.",1.10.2017 — 30.11.2017
Merihanhi,"Etelä-Karjalan, Etelä-Savon, Kainuun, Kanta-Hämeen, Keski-Suomen, Pirkanmaan, Pohjois-Karjalan, Pohjois-Savon ja Päijät-Hämeen maakunnissa, Etelä-Pohjanmaan maakuntaan kuuluvissa Alajärven, Alavuden, Evijärven, Kuortaneen, Lappajärven, Soinin, Vimpelin ja Ähtärin kunnissa, Keski-Pohjanmaan maakuntaan kuuluvissa Halsuan, Lestijärven, Perhon ja Vetelin kunnissa, Lapin maakunnassa lukuun ottamatta Kemin, Keminmaan, Tornion ja Simon kuntia, Kymenlaakson maakuntaan kuuluvissa Iitin ja Kouvolan kunnissa, Pohjois-Pohjanmaan maakuntaan kuuluvissa Haapajärven, Haapaveden, Kuusamon, Kärsämäen, Nivalan, Pudasjärven, Pyhäjärven, Pyhännän, Reisjärven, Siikalatvan, Utajärven, Vaalan ja Taivalkosken kunnissa.",kielletty
Merihanhi,Muualla maassa,20.8.2017 Klo 12 — 31.12.2017
Kanadanhanhi,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Lehtokurppa,Koko maassa,20.8.2017 Klo 12 — 31.12.2017
Teeri,"Lapin maakuntaan kuuluvissa Enontekiön, Inarin, Kittilän, Kolarin, Muonion, Savukosken, Sodankylän ja Utsjoen kunnissa.",Rauhoitettu
Teeri,"Etelä-Pohjanmaan, Kainuun, Kanta-Hämeen, Keski-Pohjanmaan, Pirkanmaan, Pohjanmaan, Pohjois-Karjalan, Päijät-Hämeen ja Satakunnan maakunnissa, Lapin maakunnassa lukuun ottamatta Enontekiön, Inarin, Kittilän, Kolarin, Muonion, Savukosken, Sodankylän ja Utsjoen kuntia sekä Pohjois-Pohjanmaan maakunnassa lukuun ottamatta Kärsämäen, Muhoksen, Oulun, Pyhäjärven, Pyhännän, Siikalatvan, Utajärven ja Vaalan kuntia.",10.9.2017 — 10.10.2017
Teeri,Muualla maassa.,10.9.2017 — 31.10.2017
Pyy,"Kainuun, Pohjois-Karjalan, Pohjois-Pohjanmaan ja Pohjois-Savon maakunnissa sekä Lapin maakunnassa lukuun ottamatta Enontekiön, Inarin, Kittilän, Kolarin, Muonion, Savukosken, Sodankylän ja Utsjoen kuntia.",10.9.2017 — 10.10.2017
Pyy,"Lapin maakuntaan kuuluvissa Enontekiön, Inarin, Kittilän, Kolarin, Muonion, Savukosken, Sodankylän ja Utsjoen kunnissa.",Rauhoitettu.
Pyy,Muualla maassa.,10.9.2017 — 31.10.2017
Metso,"Kanta-Hämeen, Keski-Pohjanmaan, Pohjanmaan, Pohjois-Savon ja Päijät-Hämeen maakunnissa, Kainuun maakunnassa lukuun ottamatta Puolangan kuntaa, Keski-Suomen maakunnassa lukuun ottamatta Kannonkosken, Karstulan, Keuruun, Kivijärven, Kyyjärven, Multian ja Saarijärven kuntia, Pohjois-Karjalan maakunnassa lukuun ottamatta Kiteen, Rääkkylän ja Tohmajärven kuntia, Pohjois-Pohjanmaan maakunnassa lukuun ottamatta Iin, Kuusamon, Kärsämäen, Muhoksen, Oulun, Pudasjärven, Pyhännän, Siikalatvan, Taivalkosken, Utajärven ja Vaalan kuntia sekä Uudenmaan maakuntaan kuuluvissa Askolan, Lapinjärven, Loviisan, Myrskylän, Mäntsälän ja Pukkilan kunnissa.",10.9.2017 — 10.10.2017
Metso,"Varsinais-Suomen maakunnassa ja Uudenmaan maakunnassa lukuun ottamatta Askolan, Lapinjärven, Loviisan, Myrskylän, Mäntsälän ja Pukkilan kuntia.",Rauhoitettu
Metso,Muualla maassa.,10.9.2017 — 31.10.2017
Riekko,Muualla maassa.,Rauhoitettu.
Riekko,"Lapin maakuntaan kuuluvissa Enontekiön, Inarin ja Utsjoen kunnissa.",10.9.2017 — 31.3.2018
Kiiruna,Muualla maassa.,Kielletty
Kiiruna,"Lapin maakuntaan kuuluvissa Enontekiön, Inarin ja Utsjoen kunnissa.",10.9.2017 — 31.3.2018
Peltopyy,"Pohjanmaan, Etelä-Pohjanmaan, Keski-Pohjanmaan ja Pohjois-Pohjanmaan maakuntien alueella",1.9.2017 — 31.10.2017
Peltopyy,Muualla maassa,1.9.2017 — 31.10.2017 Suomen riistakeskuksen myöntämällä ML 10 §:n mukaisella pyyntiluvalla
Fasaani,Koko maassa,1.9.2017 — 28.2.2018
Sepelkyyhky,Koko maassa,10.8.2017 — 31.10.2017
Metsäjänis,Koko maassa,1.9.2017 — 28.2.2018
Rusakko,Koko maassa,1.9.2017 — 28.2.2018
